Date,Actual Temp,Forcast Temp,Difference
2018-01-01,7.0,9.0,-2.0
2018-01-02,9.0,14.0,-5.0
2018-01-03,10.0,22.0,-12.0
2018-01-04,14.0,7.0,7.0
2018-01-05,5.0,4.0,1.0
2018-01-06,5.0,4.0,1.0
2018-01-07,7.0,27.0,-20.0
2018-01-08,33.0,36.0,-3.0
2018-01-09,31.0,32.0,-1.0
2018-01-10,32.0,45.0,-13.0
2018-01-11,54.0,58.0,-4.0
2018-01-12,45.0,38.0,7.0
2018-01-13,19.0,18.0,1.0
2018-01-14,13.0,16.0,-3.0
2018-01-15,16.0,25.0,-9.0
2018-01-16,19.0,14.0,5.0
2018-01-17,9.0,20.0,-11.0
2018-01-18,18.0,27.0,-9.0
2018-01-19,28.0,34.0,-6.0
2018-01-20,37.0,40.0,-3.0
2018-01-21,40.0,43.0,-3.0
2018-01-22,48.0,56.0,-8.0
2018-01-23,44.0,41.0,3.0
2018-01-24,30.0,29.0,1.0
2018-01-25,27.0,34.0,-7.0
2018-01-26,37.0,47.0,-10.0
2018-01-27,47.0,45.0,2.0
2018-01-28,37.0,41.0,-4.0
2018-01-29,33.0,27.0,6.0
2018-01-30,21.0,22.0,-1.0
2018-01-31,25.0,41.0,-16.0
2018-02-01,39.0,40.0,-1.0
